id,customer_id,vehicle_id,quote_id,contract_id,technician_id,bay_id,description,due_at,opened_at,completed_at,inspection,authorization_ref,qc_ref,block_reason,status,synthetic
WO-001,C-001,V-001,Q-001,,T-001,B-001,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,2026-09-20T20:00:00Z,Inspección demo,AUTH-WO,QC-001,,delivered,true
WO-002,C-002,V-002,Q-002,,T-002,B-002,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,in_service,true
WO-003,C-003,V-003,Q-003,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,Falta filtro,waiting_parts,true
WO-004,C-004,V-004,Q-004,,T-003,B-003,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,rework,true
WO-005,C-005,V-005,,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,,,,,cancelled,true
WO-006,C-006,V-006,Q-006,,T-004,B-001,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,quality_check,true
WO-007,C-007,V-007,,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,,,,,received,true
WO-008,C-008,V-008,Q-007,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,authorized,true
WO-009,C-009,V-009,Q-005,CT-001,T-001,B-002,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,2026-09-21T17:00:00Z,Inspección demo,AUTH-WO,QC-001,,delivered,true
WO-010,C-010,V-011,Q-008,,T-001,B-004,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,scheduled,true
